run,deal_seed,hand,player,group,cumulative_bb
two-each-1,2026092411,2700,random-2,random,-9107.5
two-each-1,2026092411,2700,tight-passive,scripted,4447.25
two-each-1,2026092411,2700,trained-1,trained,-6310.0
two-each-1,2026092411,2700,trained-2,trained,-5167.0
two-each-1,2026092411,2800,loose-aggressive,scripted,28744.0
two-each-1,2026092411,2800,random-1,random,-12331.25
two-each-1,2026092411,2800,random-2,random,-8758.75
two-each-1,2026092411,2800,tight-passive,scripted,4244.5
two-each-1,2026092411,2800,trained-1,trained,-6763.5
two-each-1,2026092411,2800,trained-2,trained,-5135.0
two-each-1,2026092411,2900,loose-aggressive,scripted,29779.5
two-each-1,2026092411,2900,random-1,random,-12712.75
two-each-1,2026092411,2900,random-2,random,-8477.25
two-each-1,2026092411,2900,tight-passive,scripted,4084.0
two-each-1,2026092411,2900,trained-1,trained,-7084.5
two-each-1,2026092411,2900,trained-2,trained,-5589.0
two-each-1,2026092411,3000,loose-aggressive,scripted,30844.5
two-each-1,2026092411,3000,random-1,random,-12907.75
two-each-1,2026092411,3000,random-2,random,-9493.75
two-each-1,2026092411,3000,tight-passive,scripted,4288.5
two-each-1,2026092411,3000,trained-1,trained,-6987.75
two-each-1,2026092411,3000,trained-2,trained,-5743.75
two-each-2,2026092412,100,loose-aggressive,scripted,2068.12
two-each-2,2026092412,100,random-1,random,-512.37
two-each-2,2026092412,100,random-2,random,-1067.25
two-each-2,2026092412,100,tight-passive,scripted,165.13
two-each-2,2026092412,100,trained-1,trained,-460.38
two-each-2,2026092412,100,trained-2,trained,-193.25
two-each-2,2026092412,200,loose-aggressive,scripted,2113.62
two-each-2,2026092412,200,random-1,random,-178.87
two-each-2,2026092412,200,random-2,random,-1007.25
two-each-2,2026092412,200,tight-passive,scripted,501.63
two-each-2,2026092412,200,trained-1,trained,-558.38
two-each-2,2026092412,200,trained-2,trained,-870.75
two-each-2,2026092412,300,loose-aggressive,scripted,3337.37
two-each-2,2026092412,300,random-1,random,-470.87
two-each-2,2026092412,300,random-2,random,-939.75
two-each-2,2026092412,300,tight-passive,scripted,689.63
two-each-2,2026092412,300,trained-1,trained,-1445.88
two-each-2,2026092412,300,trained-2,trained,-1170.5
two-each-2,2026092412,400,loose-aggressive,scripted,3912.87
two-each-2,2026092412,400,random-1,random,-365.87
two-each-2,2026092412,400,random-2,random,-1347.75
two-each-2,2026092412,400,tight-passive,scripted,1163.63
two-each-2,2026092412,400,trained-1,trained,-2283.63
two-each-2,2026092412,400,trained-2,trained,-1079.25
two-each-2,2026092412,500,loose-aggressive,scripted,5017.87
two-each-2,2026092412,500,random-1,random,-668.87
two-each-2,2026092412,500,random-2,random,-2088.75
two-each-2,2026092412,500,tight-passive,scripted,1832.13
two-each-2,2026092412,500,trained-1,trained,-3128.63
two-each-2,2026092412,500,trained-2,trained,-963.75
two-each-2,2026092412,600,loose-aggressive,scripted,5949.37
two-each-2,2026092412,600,random-1,random,-889.37
two-each-2,2026092412,600,random-2,random,-2746.75
two-each-2,2026092412,600,tight-passive,scripted,1569.13
two-each-2,2026092412,600,trained-1,trained,-2696.13
two-each-2,2026092412,600,trained-2,trained,-1186.25
two-each-2,2026092412,700,loose-aggressive,scripted,7639.87
two-each-2,2026092412,700,random-1,random,-1764.37
two-each-2,2026092412,700,random-2,random,-2485.25
two-each-2,2026092412,700,tight-passive,scripted,1644.13
two-each-2,2026092412,700,trained-1,trained,-2538.13
two-each-2,2026092412,700,trained-2,trained,-2496.25
two-each-2,2026092412,800,loose-aggressive,scripted,8585.87
two-each-2,2026092412,800,random-1,random,-2129.87
two-each-2,2026092412,800,random-2,random,-2404.25
two-each-2,2026092412,800,tight-passive,scripted,1846.13
two-each-2,2026092412,800,trained-1,trained,-2572.13
